qblock_id,reads,k,seed,best_milli,median_milli,target_milli,winner_milli,reads_below_target,valid,beats_winner,wall_s,error
1000000,64,0,11799818995364300174,-14394000,-14362000,-14625068,0,0,0,1,2.386,
1000001,64,0,13077166683527568888,-14354000,-14318000,-14625068,0,0,0,1,2.298,
1000002,64,0,3301401599086457727,-14388000,-14342000,-14625068,0,0,0,1,2.332,
1000003,64,0,8942616366455446728,-14346000,-14312000,-14625068,0,0,0,1,2.38,
1000004,64,0,10666194825711273482,-14430000,-14368000,-14625068,0,0,0,1,2.251,
1000005,64,0,4253180899524641686,-14378000,-14322000,-14625068,0,0,0,1,2.667,
1000006,64,0,16708092273692507459,-14426000,-14372000,-14625068,0,0,0,1,2.258,
1000007,64,0,9657959486673317718,-14394000,-14364000,-14625068,0,0,0,1,2.285,
1000008,64,0,1330521931548155171,-14358000,-14322000,-14625068,0,0,0,1,2.269,
1000009,64,0,13425053096229349656,-14396000,-14352000,-14625068,0,0,0,1,2.257,
1000010,64,0,153418685307125608,-14364000,-14342000,-14625068,0,0,0,1,2.36,
1000011,64,0,10895183131473729475,-14410000,-14368000,-14625068,0,0,0,1,2.391,
1000012,64,0,17585583359865830791,-14408000,-14348000,-14625068,0,0,0,1,2.212,
1000013,64,0,4242602037089378240,-14334000,-14290000,-14625068,0,0,0,1,2.278,
1000014,64,0,13432323484228419313,-14488000,-14448000,-14625068,0,0,0,1,2.169,
1000015,64,0,15191966611299432252,-14408000,-14366000,-14625068,0,0,0,1,2.06,
1000016,64,0,10212825744145104840,-14406000,-14364000,-14625068,0,0,0,1,2.464,
1000017,64,0,8597421912681097095,-14472000,-14420000,-14625068,0,0,0,1,2.756,
1000018,64,0,7969677762549521362,-14352000,-14302000,-14625068,0,0,0,1,2.66,
1000019,64,0,6785801588678357370,-14420000,-14366000,-14625068,0,0,0,1,2.269,
1000020,64,0,1029946653091499352,-14446000,-14390000,-14625068,0,0,0,1,2.288,
1000021,64,0,14148030940600096208,-14468000,-14430000,-14625068,0,0,0,1,2.305,
1000022,64,0,13068101693933096470,-14290000,-14248000,-14625068,0,0,0,1,2.302,
1000023,64,0,11714876331096506655,-14308000,-14268000,-14625068,0,0,0,1,2.212,
1000024,64,0,7670079472344179060,-14418000,-14388000,-14625068,0,0,0,1,2.331,
1000025,64,0,5153678027717010759,-14366000,-14326000,-14625068,0,0,0,1,2.367,
1000026,64,0,16015073926216924551,-14510000,-14464000,-14625068,0,0,0,1,2.22,
1000027,64,0,10764591172075606557,-14308000,-14258000,-14625068,0,0,0,1,2.231,
1000028,64,0,11960943103551946164,-14360000,-14322000,-14625068,0,0,0,1,2.304,
1000029,64,0,18105982311512368055,-14364000,-14318000,-14625068,0,0,0,1,2.167,
1000030,64,0,17173950481392050325,-14358000,-14318000,-14625068,0,0,0,1,2.118,
1000031,64,0,7220636642047366465,-14442000,-14408000,-14625068,0,0,0,1,2.094,
1000032,64,0,11253073550461711341,-14452000,-14414000,-14625068,0,0,0,1,2.485,
1000033,64,0,2906220193568980229,-14372000,-14324000,-14625068,0,0,0,1,2.4,
1000034,64,0,3215377386397219885,-14430000,-14392000,-14625068,0,0,0,1,2.372,
1000035,64,0,13088318830887616858,-14348000,-14310000,-14625068,0,0,0,1,2.324,
1000036,64,0,8969366865437300189,-14350000,-14316000,-14625068,0,0,0,1,2.327,
1000037,64,0,9721299629857456440,-14374000,-14334000,-14625068,0,0,0,1,2.373,
1000038,64,0,348396699109819239,-14386000,-14350000,-14625068,0,0,0,1,2.258,
1000039,64,0,8443128482593595743,-14440000,-14392000,-14625068,0,0,0,1,2.212,
1000040,64,0,10489166853494434070,-14270000,-14230000,-14625068,0,0,0,1,2.49,
1000041,64,0,6138349664846912043,-14330000,-14286000,-14625068,0,0,0,1,2.326,
1000042,64,0,674745739244825717,-14328000,-14284000,-14625068,0,0,0,1,2.318,
1000043,64,0,15864176878391074768,-14416000,-14378000,-14625068,0,0,0,1,2.32,
1000044,64,0,13222185811935753669,-14390000,-14340000,-14625068,0,0,0,1,2.255,
1000045,64,0,1989985276728978337,-14382000,-14334000,-14625068,0,0,0,1,2.235,
1000046,64,0,4854110092537759525,-14500000,-14442000,-14625068,0,0,0,1,2.29,
1000047,64,0,17610641996664614549,-14416000,-14376000,-14625068,0,0,0,1,2.246,
1000048,64,0,3588415800399183923,-14410000,-14354000,-14625068,0,0,0,1,2.321,
1000049,64,0,9834113392193101891,-14356000,-14320000,-14625068,0,0,0,1,2.357,
1000050,64,0,10622985338629915762,-14450000,-14382000,-14625068,0,0,0,1,2.284,
1000051,64,0,10093917874843031716,-14408000,-14366000,-14625068,0,0,0,1,2.232,
1000052,64,0,1047921306205482697,-14420000,-14364000,-14625068,0,0,0,1,2.721,
1000053,64,0,5492074571848180482,-14450000,-14414000,-14625068,0,0,0,1,2.646,
1000054,64,0,7084176636843926881,-14422000,-14384000,-14625068,0,0,0,1,2.264,
1000055,64,0,2775565337492197301,-14470000,-14426000,-14625068,0,0,0,1,2.294,
1000056,64,0,14202513083044499763,-14442000,-14388000,-14625068,0,0,0,1,2.289,
1000057,64,0,18056137855530230948,-14352000,-14314000,-14625068,0,0,0,1,2.364,
1000058,64,0,8005532304606035825,-14372000,-14330000,-14625068,0,0,0,1,2.371,
1000059,64,0,4804986761626796461,-14376000,-14332000,-14625068,0,0,0,1,2.157,
1000060,64,0,658680901160222535,-14356000,-14322000,-14625068,0,0,0,1,2.241,
1000061,64,0,9028269735543050983,-14372000,-14330000,-14625068,0,0,0,1,2.19,
1000062,64,0,5411158793898059683,-14430000,-14396000,-14625068,0,0,0,1,2.113,
