qblock_id,reads,k,seed,best_milli,median_milli,target_milli,winner_milli,reads_below_target,valid,beats_winner,wall_s,error
1000000,64,2,1478715919881699310,-14376000,-14326000,-14625068,0,0,0,1,2.385,
1000001,64,2,4376184273261413874,-14334000,-14278000,-14625068,0,0,0,1,2.236,
1000002,64,2,7630462608423163178,-14376000,-14304000,-14625068,0,0,0,1,2.304,
1000003,64,2,13219221884973785079,-14338000,-14270000,-14625068,0,0,0,1,2.306,
1000004,64,2,16834437056554293128,-14388000,-14328000,-14625068,0,0,0,1,2.278,
1000005,64,2,14384209413921587394,-14334000,-14272000,-14625068,0,0,0,1,2.344,
1000006,64,2,3049525951064352995,-14376000,-14334000,-14625068,0,0,0,1,2.365,
1000007,64,2,4536131265494191690,-14358000,-14322000,-14625068,0,0,0,1,2.319,
1000008,64,2,500845672396115406,-14330000,-14284000,-14625068,0,0,0,1,2.35,
1000009,64,2,4997987349907216079,-14362000,-14310000,-14625068,0,0,0,1,2.295,
1000010,64,2,5959279545835185826,-14338000,-14298000,-14625068,0,0,0,1,2.283,
1000011,64,2,11299016422478246229,-14386000,-14326000,-14625068,0,0,0,1,2.395,
1000012,64,2,13494877235187940883,-14364000,-14306000,-14625068,0,0,0,1,2.383,
1000013,64,2,6503060982377294137,-14296000,-14252000,-14625068,0,0,0,1,2.274,
1000014,64,2,4433955103942015662,-14466000,-14424000,-14625068,0,0,0,1,2.24,
1000015,64,2,2026625749136653339,-14378000,-14322000,-14625068,0,0,0,1,2.298,
1000016,64,2,973952738344359545,-14380000,-14320000,-14625068,0,0,0,1,2.434,
1000017,64,2,6947035723748263966,-14434000,-14384000,-14625068,0,0,0,1,2.27,
1000018,64,2,2755833996452244945,-14304000,-14260000,-14625068,0,0,0,1,2.338,
1000019,64,2,6752638241906208018,-14384000,-14332000,-14625068,0,0,0,1,2.358,
1000020,64,2,16519050325042254343,-14394000,-14344000,-14625068,0,0,0,1,2.346,
1000021,64,2,12811322752158997082,-14454000,-14388000,-14625068,0,0,0,1,2.355,
1000022,64,2,10806734720492093707,-14264000,-14208000,-14625068,0,0,0,1,2.337,
1000023,64,2,227237210423088758,-14272000,-14230000,-14625068,0,0,0,1,2.247,
1000024,64,2,7134244033204997991,-14408000,-14352000,-14625068,0,0,0,1,2.446,
1000025,64,2,10841731757693846564,-14360000,-14296000,-14625068,0,0,0,1,2.353,
1000026,64,2,14775928262578969465,-14468000,-14418000,-14625068,0,0,0,1,2.431,
1000027,64,2,7906059313888251863,-14266000,-14220000,-14625068,0,0,0,1,2.423,
1000028,64,2,16332811222452178153,-14354000,-14288000,-14625068,0,0,0,1,2.384,
1000029,64,2,18083056394927937772,-14328000,-14280000,-14625068,0,0,0,1,2.35,
1000030,64,2,8075954614189783506,-14336000,-14286000,-14625068,0,0,0,1,2.321,
1000031,64,2,6346522182503165757,-14408000,-14368000,-14625068,0,0,0,1,2.345,
1000032,64,2,8803289664573613272,-14438000,-14384000,-14625068,0,0,0,1,2.452,
1000033,64,2,12218436002050496188,-14340000,-14290000,-14625068,0,0,0,1,2.308,
1000034,64,2,16538355595736412009,-14408000,-14354000,-14625068,0,0,0,1,2.25,
1000035,64,2,15546615294117839365,-14316000,-14276000,-14625068,0,0,0,1,2.311,
1000036,64,2,2475889347787408099,-14318000,-14266000,-14625068,0,0,0,1,2.27,
1000037,64,2,11368350335837371346,-14344000,-14288000,-14625068,0,0,0,1,2.31,
1000038,64,2,16860288233781923995,-14370000,-14316000,-14625068,0,0,0,1,2.378,
1000039,64,2,1089204528402215886,-14402000,-14340000,-14625068,0,0,0,1,2.329,
1000040,64,2,11208771368836384075,-14250000,-14206000,-14625068,0,0,0,1,2.392,
1000041,64,2,7521352593458969887,-14304000,-14248000,-14625068,0,0,0,1,2.322,
1000042,64,2,17492561032272333250,-14302000,-14248000,-14625068,0,0,0,1,2.413,
1000043,64,2,16197766868221830063,-14412000,-14350000,-14625068,0,0,0,1,2.297,
1000044,64,2,17303922124579529742,-14362000,-14302000,-14625068,0,0,0,1,2.309,
1000045,64,2,14681449255908062863,-14356000,-14302000,-14625068,0,0,0,1,2.274,
1000046,64,2,7096713361862439652,-14458000,-14416000,-14625068,0,0,0,1,2.279,
1000047,64,2,2353416382401730767,-14388000,-14336000,-14625068,0,0,0,1,2.25,
1000048,64,2,843442202215113719,-14370000,-14318000,-14625068,0,0,0,1,2.314,
1000049,64,2,10715802594658862638,-14332000,-14282000,-14625068,0,0,0,1,2.341,
1000050,64,2,1356312947692944685,-14400000,-14338000,-14625068,0,0,0,1,2.341,
1000051,64,2,15574316532537688179,-14380000,-14332000,-14625068,0,0,0,1,2.242,
1000052,64,2,13928854617076866252,-14412000,-14324000,-14625068,0,0,0,1,2.397,
1000053,64,2,15170572144923513938,-14428000,-14374000,-14625068,0,0,0,1,2.24,
1000054,64,2,12779109239867509264,-14406000,-14354000,-14625068,0,0,0,1,2.35,
1000055,64,2,11362101321556248973,-14442000,-14384000,-14625068,0,0,0,1,2.382,
1000056,64,2,18234708507185036305,-14400000,-14360000,-14625068,0,0,0,1,2.364,
1000057,64,2,13858916193009866684,-14324000,-14278000,-14625068,0,0,0,1,2.554,
1000058,64,2,1848371696505360199,-14348000,-14296000,-14625068,0,0,0,1,2.363,
1000059,64,2,6630976557374191329,-14354000,-14296000,-14625068,0,0,0,1,2.298,
1000060,64,2,10330882070122619881,-14334000,-14282000,-14625068,0,0,0,1,2.265,
1000061,64,2,5176781428315017526,-14338000,-14292000,-14625068,0,0,0,1,2.322,
1000062,64,2,16290162274507439823,-14418000,-14370000,-14625068,0,0,0,1,2.264,
1000063,64,2,16149572262966665045,-14366000,-14316000,-14625068,0,0,0,1,2.362,
1000064,64,2,14333492615808796598,-14350000,-14304000,-14625068,0,0,0,1,2.459,
1000065,64,2,10764961556659772101,-14346000,-14302000,-14625068,0,0,0,1,2.333,
1000066,64,2,9030456136016540900,-14330000,-14282000,-14625068,0,0,0,1,2.378,
1000067,64,2,3359089359574998091,-14366000,-14300000,-14625068,0,0,0,1,2.442,
1000068,64,2,4235232629723061883,-14438000,-14390000,-14625068,0,0,0,1,2.317,
1000069,64,2,7199243745197216952,-14466000,-14384000,-14625068,0,0,0,1,2.316,
1000070,64,2,3723487833527862291,-14352000,-14284000,-14625068,0,0,0,1,2.334,
1000071,64,2,4818432879099035850,-14332000,-14284000,-14625068,0,0,0,1,2.244,
1000072,64,2,7193141450075570665,-14324000,-14276000,-14625068,0,0,0,1,2.368,
1000073,64,2,15196222151791461899,-14294000,-14252000,-14625068,0,0,0,1,2.303,
1000074,64,2,14555495033987672667,-14322000,-14256000,-14625068,0,0,0,1,2.396,
1000075,64,2,14267924060732337354,-14412000,-14348000,-14625068,0,0,0,1,2.416,
1000076,64,2,4767441399538952031,-14386000,-14336000,-14625068,0,0,0,1,2.471,
1000077,64,2,7796189022598542530,-14340000,-14274000,-14625068,0,0,0,1,2.311,
1000078,64,2,9074037503681123385,-14352000,-14284000,-14625068,0,0,0,1,2.353,
1000079,64,2,3163328774074308340,-14292000,-14232000,-14625068,0,0,0,1,2.245,
1000080,64,2,427244635233692884,-14372000,-14312000,-14625068,0,0,0,1,2.462,
1000081,64,2,11527075344461428637,-14334000,-14270000,-14625068,0,0,0,1,2.465,
1000082,64,2,1860528819354696147,-14432000,-14382000,-14625068,0,0,0,1,2.341,
1000083,64,2,2318694002940471579,-14364000,-14326000,-14625068,0,0,0,1,2.277,
1000084,64,2,4779857900050653893,-14380000,-14334000,-14625068,0,0,0,1,2.227,
1000085,64,2,11894522989534836899,-14312000,-14266000,-14625068,0,0,0,1,2.342,
1000086,64,2,12412557315580683451,-14436000,-14400000,-14625068,0,0,0,1,2.209,
1000087,64,2,14567820942619275334,-14358000,-14306000,-14625068,0,0,0,1,2.253,
1000088,64,2,3178503199877853198,-14414000,-14340000,-14625068,0,0,0,1,2.425,
1000089,64,2,5582826926273009149,-14350000,-14308000,-14625068,0,0,0,1,2.387,
