qblock_id,reads,k,seed,best_milli,median_milli,target_milli,winner_milli,reads_below_target,valid,beats_winner,wall_s,error
1000178,64,3,17772912645648337066,-14350000,-14274000,-14625068,0,0,0,1,2.336,
1000179,64,3,11503248104556768218,-14312000,-14252000,-14625068,0,0,0,1,2.352,
1000180,64,3,2540071494132262594,-14470000,-14376000,-14625068,0,0,0,1,2.328,
1000181,64,3,3689766799980499414,-14350000,-14248000,-14625068,0,0,0,1,2.46,
1000182,64,3,2502688196644491079,-14234000,-14170000,-14625068,0,0,0,1,2.274,
1000183,64,3,3521467720378901899,-14312000,-14246000,-14625068,0,0,0,1,2.281,
1000184,64,3,778845230202666954,-14450000,-14330000,-14625068,0,0,0,1,2.477,
1000185,64,3,8539155784149981277,-14364000,-14294000,-14625068,0,0,0,1,2.264,
1000186,64,3,17063797992211232129,-14342000,-14272000,-14625068,0,0,0,1,2.49,
1000187,64,3,9956118121764423468,-14290000,-14218000,-14625068,0,0,0,1,2.398,
1000188,64,3,11224778156970923695,-14328000,-14236000,-14625068,0,0,0,1,2.286,
1000189,64,3,13818384928710620891,-14266000,-14198000,-14625068,0,0,0,1,2.718,
1000190,64,3,1919569466770663099,-14334000,-14262000,-14625068,0,0,0,1,2.254,
1000191,64,3,13780690432032600400,-14264000,-14206000,-14625068,0,0,0,1,2.253,
1000192,64,3,12361202074694702308,-14344000,-14252000,-14625068,0,0,0,1,2.628,
1000193,64,3,15199206384633237283,-14272000,-14210000,-14625068,0,0,0,1,2.214,
1000194,64,3,9891957552821531418,-14274000,-14196000,-14625068,0,0,0,1,2.334,
1000195,64,3,12406000410481088190,-14296000,-14226000,-14625068,0,0,0,1,2.314,
1000196,64,3,3505258318134004293,-14312000,-14254000,-14625068,0,0,0,1,2.296,
1000197,64,3,14528209573109597392,-14368000,-14296000,-14625068,0,0,0,1,2.263,
1000198,64,3,14453889368425047719,-14306000,-14224000,-14625068,0,0,0,1,2.269,
1000199,64,3,17709428193542091842,-14276000,-14216000,-14625068,0,0,0,1,2.072,
1000200,64,3,10974309717847618833,-14352000,-14268000,-14625068,0,0,0,1,2.401,
1000201,64,3,13894364988085520498,-14314000,-14256000,-14625068,0,0,0,1,2.321,
1000202,64,3,3223959074588570032,-14340000,-14256000,-14625068,0,0,0,1,2.403,
1000203,64,3,8022394621355738711,-14322000,-14222000,-14625068,0,0,0,1,2.33,
1000204,64,3,10804330681647411118,-14288000,-14202000,-14625068,0,0,0,1,2.695,
1000205,64,3,3992833306883272177,-14340000,-14260000,-14625068,0,0,0,1,2.318,
1000206,64,3,8852093780536090174,-14336000,-14260000,-14625068,0,0,0,1,2.316,
1000207,64,3,48317024042046656,-14316000,-14246000,-14625068,0,0,0,1,2.265,
1000208,64,3,15948524576658826392,-14428000,-14348000,-14625068,0,0,0,1,2.314,
1000209,64,3,4651960673546213084,-14354000,-14282000,-14625068,0,0,0,1,2.318,
1000210,64,3,18419901338805139758,-14330000,-14268000,-14625068,0,0,0,1,2.46,
1000211,64,3,14710680604181681498,-14332000,-14256000,-14625068,0,0,0,1,2.23,
1000212,64,3,14372479924637001575,-14228000,-14142000,-14625068,0,0,0,1,2.284,
1000213,64,3,8037347808671014365,-14228000,-14170000,-14625068,0,0,0,1,2.242,
1000214,64,3,9084560094758298730,-14232000,-14166000,-14625068,0,0,0,1,2.313,
1000215,64,3,5072250769362271298,-14342000,-14276000,-14625068,0,0,0,1,2.129,
1000216,64,3,5136803737514128643,-14342000,-14290000,-14625068,0,0,0,1,2.312,
1000217,64,3,16297777729349987696,-14326000,-14258000,-14625068,0,0,0,1,2.394,
1000218,64,3,15052176649280633416,-14358000,-14270000,-14625068,0,0,0,1,2.431,
1000219,64,3,13563941592153001466,-14214000,-14124000,-14625068,0,0,0,1,2.38,
1000220,64,3,8533908802786879298,-14236000,-14152000,-14625068,0,0,0,1,2.315,
1000221,64,3,3751279437843294088,-14348000,-14292000,-14625068,0,0,0,1,2.378,
1000222,64,3,2603195067422449901,-14272000,-14186000,-14625068,0,0,0,1,2.28,
1000223,64,3,4207889228967775445,-14296000,-14232000,-14625068,0,0,0,1,2.237,
1000224,64,3,15065336772059620423,-14244000,-14170000,-14625068,0,0,0,1,2.422,
1000225,64,3,13424854710656479789,-14324000,-14250000,-14625068,0,0,0,1,2.28,
1000226,64,3,18127610901848826801,-14270000,-14204000,-14625068,0,0,0,1,2.416,
1000227,64,3,4109609794526357583,-14234000,-14168000,-14625068,0,0,0,1,2.326,
1000228,64,3,7571202210883797003,-14382000,-14306000,-14625068,0,0,0,1,2.325,
1000229,64,3,15284108619992708976,-14378000,-14308000,-14625068,0,0,0,1,2.356,
1000230,64,3,16824108391416156850,-14334000,-14278000,-14625068,0,0,0,1,2.34,
1000231,64,3,4633896495316081825,-14304000,-14228000,-14625068,0,0,0,1,2.295,
1000232,64,3,8052979379109006749,-14302000,-14218000,-14625068,0,0,0,1,2.379,
1000233,64,3,3190271600925117274,-14362000,-14290000,-14625068,0,0,0,1,2.394,
1000234,64,3,16485234273535267939,-14444000,-14364000,-14625068,0,0,0,1,2.412,
1000235,64,3,8300544040616908397,-14214000,-14138000,-14625068,0,0,0,1,2.314,
1000236,64,3,15700710003230394653,-14246000,-14192000,-14625068,0,0,0,1,2.335,
1000237,64,3,7850040736350211941,-14322000,-14266000,-14625068,0,0,0,1,2.663,
1000238,64,3,4134722554659490251,-14384000,-14284000,-14625068,0,0,0,1,2.284,
1000239,64,3,12568838411339392674,-14360000,-14290000,-14625068,0,0,0,1,2.297,
1000240,64,3,6155047301035570542,-14288000,-14208000,-14625068,0,0,0,1,2.383,
1000241,64,3,8497664310428270855,-14472000,-14398000,-14625068,0,0,0,1,2.898,
1000242,64,3,5811121910855603903,-14224000,-14158000,-14625068,0,0,0,1,2.242,
1000243,64,3,891059969124280820,-14312000,-14234000,-14625068,0,0,0,1,2.291,
1000244,64,3,6811208430457637713,-14368000,-14312000,-14625068,0,0,0,1,2.268,
1000245,64,3,15278934668860348035,-14370000,-14260000,-14625068,0,0,0,1,2.346,
1000246,64,3,11713502932089570426,-14276000,-14222000,-14625068,0,0,0,1,2.245,
1000247,64,3,10193450604601085088,-14276000,-14218000,-14625068,0,0,0,1,2.507,
1000248,64,3,11703273241360704067,-14366000,-14280000,-14625068,0,0,0,1,2.913,
