nonce,seed,best_256x65536,median_256x65536,below_256x65536
55,4cb23c4cc1c4f4cb28d891e71f9bf23a98f11de4794b06e37bac6cf620f81660,-14556000,-14514000,0
56,061e8b7e68ee7e3aba4905fc985888eaa96dcabea6ba740332b3fd6a963442ce,-14576000,-14526000,0
57,b453563361b53cab1392f4ca886fb059f79fe9cb341c9ebc0851f7c98d636017,-14538000,-14500000,0
58,ba12bf490dc041bf1f8281da97549f55dbe6a1a8b77e43d7d673fe3410068df8,-14530000,-14488000,0
59,1cd651e64e1a5ffab0724b305f4137cf55480b625a7b631b85eb1dea5a5d0a3a,-14558000,-14516000,0
60,92902659b31c5ce633b944d63dabf0a3811ce292166857c8f8d820f59f986307,-14566000,-14526000,0
61,8e63b9f4dcf05179c932eb2a6564eab2ec76f3d1ec74eee601ab524cae3d3d3a,-14548000,-14508000,0
62,189f6d64a92308c026826d9a79c9802fa21039633a21427d030aa9efd9501876,-14552000,-14516000,0
63,0b0e87242f7b9500d7e2627f190bae53d272da2c402c91eeb7322bb102b39efd,-14554000,-14514000,0
64,89f39776d782f0932e1eabbf333f16f39203f256fb0b3764154387dabd488c67,-14548000,-14502000,0
65,9522fc92511cc72490dfa3b555a167ae2f7c93f55496654117b10c35b2f8a65f,-14550000,-14506000,0
66,6a27081d1405ffa3a4ad9e2815daab38ff792e03584c9f18ccba11c2b60bbd39,-14542000,-14506000,0
67,bd2e1cca0a478925a01914eedd7499919359dce0796b6627e0e5f964bf1b4460,-14562000,-14516000,0
68,263d41f21594aeccdc36f60395ae02fab1edc5c9b98b63f32a2acf22d276d8b4,-14570000,-14536000,0
69,3186a0bfeb03e9ef7d6bc246877ce477eb906c9402166b030a13693efc226445,-14568000,-14526000,0
70,13aebe296d3563028f379a26729ef37e2000eb2242e40f4f20de2ac08a575eec,-14516000,-14474000,0
71,1f78b584da7038042ff5bf59cf012ec605215e148569418c077cd03524b302f1,-14538000,-14504000,0
72,8478d35f81539a98757f4838cf21588acb925f9ed872ea852eff82b46c9684cd,-14524000,-14488000,0
73,86860ce4a489845a0bfe23c264093920375bf74a304312754198504c5f5bfa78,-14558000,-14508000,0
74,61653ed32480978feb617b5a2d0f8307e88dfae97f8dffb4f302d13ccea29ae4,-14520000,-14490000,0
